_id,type,model
ObjectId(6a5800e033c1d16759af3ebf),laptop,ki2
ObjectId(6a5800e033c1d16759af3ec0),laptop,j3
ObjectId(6a5800e033c1d16759af3ec1),laptop,jl3
ObjectId(6a5800e033c1d16759af3ec2),laptop,ay9
ObjectId(6a5800e033c1d16759af3ec3),laptop,c6
ObjectId(6a5800e033c1d16759af3ec4),laptop,qw2
ObjectId(6a5800e033c1d16759af3ec5),laptop,qw2
ObjectId(6a5800e033c1d16759af3ec6),laptop,k12
ObjectId(6a5800e033c1d16759af3ec7),laptop,jl3
ObjectId(6a5800e033c1d16759af3ec8),laptop,k12
ObjectId(6a5800e033c1d16759af3ec9),laptop,zeta
ObjectId(6a5800e033c1d16759af3eca),laptop,k12
ObjectId(6a5800e033c1d16759af3ecb),laptop,jl3
ObjectId(6a5800e033c1d16759af3ecc),laptop,kz
ObjectId(6a5800e033c1d16759af3ecd),laptop,jl3
ObjectId(6a5800e033c1d16759af3ece),laptop,zeta
ObjectId(6a5800e033c1d16759af3ecf),laptop,zeta
ObjectId(6a5800e033c1d16759af3ed0),laptop,ay9
ObjectId(6a5800e033c1d16759af3ed1),laptop,k12
ObjectId(6a5800e033c1d16759af3ed2),laptop,ay9
ObjectId(6a5800e033c1d16759af3ed3),laptop,kz
ObjectId(6a5800e033c1d16759af3ed4),laptop,j3
ObjectId(6a5800e033c1d16759af3ed5),laptop,ki2
ObjectId(6a5800e033c1d16759af3ed6),laptop,qw2
ObjectId(6a5800e033c1d16759af3ed7),laptop,qw2
ObjectId(6a5800e033c1d16759af3ed8),laptop,jl3
ObjectId(6a5800e033c1d16759af3ed9),laptop,j3
ObjectId(6a5800e033c1d16759af3eda),laptop,jl3
ObjectId(6a5800e033c1d16759af3edb),laptop,ki2
ObjectId(6a5800e033c1d16759af3edc),laptop,kz
ObjectId(6a5800e033c1d16759af3edd),laptop,k12
ObjectId(6a5800e033c1d16759af3ede),laptop,zeta
ObjectId(6a5800e033c1d16759af3edf),laptop,k12
ObjectId(6a5800e033c1d16759af3ee0),laptop,k12
ObjectId(6a5800e033c1d16759af3ee1),laptop,qw2
ObjectId(6a5800e033c1d16759af3ee2),laptop,j3
ObjectId(6a5800e033c1d16759af3ee3),laptop,qw2
ObjectId(6a5800e033c1d16759af3ee4),laptop,kz
ObjectId(6a5800e033c1d16759af3ee5),laptop,qw2
ObjectId(6a5800e033c1d16759af3ee6),laptop,c6
ObjectId(6a5800e033c1d16759af3ee7),laptop,ay9
ObjectId(6a5800e033c1d16759af3ee8),laptop,j3
ObjectId(6a5800e033c1d16759af3ee9),laptop,kz
ObjectId(6a5800e033c1d16759af3eea),laptop,ay9
ObjectId(6a5800e033c1d16759af3eeb),laptop,ki2
ObjectId(6a5800e033c1d16759af3eec),laptop,c6
ObjectId(6a5800e033c1d16759af3eed),laptop,ay9
ObjectId(6a5800e033c1d16759af3eee),laptop,k12
ObjectId(6a5800e033c1d16759af3eef),laptop,ki2
ObjectId(6a5800e033c1d16759af3ef0),laptop,qw2
ObjectId(6a5800e033c1d16759af3ef1),laptop,qw2
ObjectId(6a5800e033c1d16759af3ef2),laptop,k12
ObjectId(6a5800e033c1d16759af3ef3),laptop,ki2
ObjectId(6a5800e033c1d16759af3ef4),laptop,ay9
ObjectId(6a5800e033c1d16759af3ef5),laptop,ay9
ObjectId(6a5800e033c1d16759af3ef6),laptop,k12
ObjectId(6a5800e033c1d16759af3ef7),laptop,k12
ObjectId(6a5800e033c1d16759af3ef8),laptop,zeta
ObjectId(6a5800e033c1d16759af3ef9),laptop,j3
ObjectId(6a5800e033c1d16759af3efa),laptop,kz
ObjectId(6a5800e033c1d16759af3efb),laptop,zeta
ObjectId(6a5800e033c1d16759af3efc),laptop,qw2
ObjectId(6a5800e033c1d16759af3efd),laptop,k12
ObjectId(6a5800e033c1d16759af3efe),laptop,qw2
ObjectId(6a5800e033c1d16759af3eff),laptop,kz
ObjectId(6a5800e033c1d16759af3f00),laptop,k12
ObjectId(6a5800e033c1d16759af3f01),laptop,k12
ObjectId(6a5800e033c1d16759af3f02),laptop,ay9
ObjectId(6a5800e033c1d16759af3f03),laptop,j3
ObjectId(6a5800e033c1d16759af3f04),laptop,qw2
ObjectId(6a5800e033c1d16759af3f05),laptop,ay9
ObjectId(6a5800e033c1d16759af3f06),laptop,c6
ObjectId(6a5800e033c1d16759af3f07),laptop,jl3
ObjectId(6a5800e033c1d16759af3f08),laptop,j3
ObjectId(6a5800e033c1d16759af3f09),laptop,kz
ObjectId(6a5800e033c1d16759af3f0a),laptop,c6
ObjectId(6a5800e033c1d16759af3f0b),laptop,ay9
ObjectId(6a5800e033c1d16759af3f0c),laptop,ay9
ObjectId(6a5800e033c1d16759af3f0d),laptop,kz
ObjectId(6a5800e033c1d16759af3f0e),laptop,k12
ObjectId(6a5800e033c1d16759af3f0f),laptop,j3
ObjectId(6a5800e033c1d16759af3f10),laptop,k12
ObjectId(6a5800e033c1d16759af3f11),laptop,ay9
ObjectId(6a5800e033c1d16759af3f12),laptop,kz
ObjectId(6a5800e033c1d16759af3f13),laptop,k12
ObjectId(6a5800e033c1d16759af3f14),laptop,c6
ObjectId(6a5800e033c1d16759af3f15),laptop,ki2
ObjectId(6a5800e033c1d16759af3f16),laptop,kz
ObjectId(6a5800e033c1d16759af3f17),laptop,k12
ObjectId(6a5800e033c1d16759af3f18),laptop,c6
ObjectId(6a5800e033c1d16759af3f19),laptop,k12
ObjectId(6a5800e033c1d16759af3f1a),laptop,kz
ObjectId(6a5800e033c1d16759af3f1b),laptop,kz
ObjectId(6a5800e033c1d16759af3f1c),laptop,ay9
ObjectId(6a5800e033c1d16759af3f1d),laptop,c6
ObjectId(6a5800e033c1d16759af3f1e),laptop,qw2
ObjectId(6a5800e033c1d16759af3f1f),laptop,j3
ObjectId(6a5800e033c1d16759af3f20),laptop,ki2
ObjectId(6a5800e033c1d16759af3f21),laptop,zeta
ObjectId(6a5800e033c1d16759af3f22),laptop,kz
ObjectId(6a5800e033c1d16759af3f23),laptop,ki2
ObjectId(6a5800e033c1d16759af3f24),laptop,c6
ObjectId(6a5800e033c1d16759af3f25),laptop,k12
ObjectId(6a5800e033c1d16759af3f26),laptop,ki2
ObjectId(6a5800e033c1d16759af3f27),laptop,ki2
ObjectId(6a5800e033c1d16759af3f28),laptop,c6
ObjectId(6a5800e033c1d16759af3f29),laptop,k12
ObjectId(6a5800e033c1d16759af3f2a),laptop,qw2
ObjectId(6a5800e033c1d16759af3f2b),laptop,kz
ObjectId(6a5800e033c1d16759af3f2c),laptop,j3
ObjectId(6a5800e033c1d16759af3f2d),laptop,ki2
ObjectId(6a5800e033c1d16759af3f2e),laptop,kz
ObjectId(6a5800e033c1d16759af3f2f),laptop,ki2
ObjectId(6a5800e033c1d16759af3f30),laptop,k12
ObjectId(6a5800e033c1d16759af3f31),laptop,ay9
ObjectId(6a5800e033c1d16759af3f32),laptop,kz
ObjectId(6a5800e033c1d16759af3f33),laptop,zeta
ObjectId(6a5800e033c1d16759af3f34),laptop,k12
ObjectId(6a5800e033c1d16759af3f35),laptop,ay9
ObjectId(6a5800e033c1d16759af3f36),laptop,k12
ObjectId(6a5800e033c1d16759af3f37),laptop,j3
ObjectId(6a5800e033c1d16759af3f38),laptop,k12
ObjectId(6a5800e033c1d16759af3f39),laptop,ki2
ObjectId(6a5800e033c1d16759af3f3a),laptop,zeta
ObjectId(6a5800e033c1d16759af3f3b),laptop,qw2
ObjectId(6a5800e033c1d16759af3f3c),laptop,ki2
ObjectId(6a5800e033c1d16759af3f3d),laptop,jl3
ObjectId(6a5800e033c1d16759af3f3e),laptop,qw2
ObjectId(6a5800e033c1d16759af3f3f),laptop,zeta
ObjectId(6a5800e033c1d16759af3f40),laptop,zeta
ObjectId(6a5800e033c1d16759af3f41),laptop,ki2
ObjectId(6a5800e033c1d16759af3f42),laptop,c6
ObjectId(6a5800e033c1d16759af3f43),laptop,zeta
ObjectId(6a5800e033c1d16759af3f44),laptop,ay9
ObjectId(6a5800e033c1d16759af3f45),laptop,k12
ObjectId(6a5800e033c1d16759af3f46),laptop,jl3
ObjectId(6a5800e033c1d16759af3f47),laptop,jl3
ObjectId(6a5800e033c1d16759af3f48),laptop,qw2
ObjectId(6a5800e033c1d16759af3f49),laptop,ay9
ObjectId(6a5800e033c1d16759af3f4a),laptop,ki2
ObjectId(6a5800e033c1d16759af3f4b),laptop,ay9
ObjectId(6a5800e033c1d16759af3f4c),laptop,k12
ObjectId(6a5800e033c1d16759af3f4d),laptop,jl3
ObjectId(6a5800e033c1d16759af3f4e),laptop,kz
ObjectId(6a5800e033c1d16759af3f4f),laptop,kz
ObjectId(6a5800e033c1d16759af3f50),laptop,jl3
ObjectId(6a5800e033c1d16759af3f51),laptop,j3
ObjectId(6a5800e033c1d16759af3f52),laptop,qw2
ObjectId(6a5800e033c1d16759af3f53),laptop,jl3
ObjectId(6a5800e033c1d16759af3f54),laptop,ki2
ObjectId(6a5800e033c1d16759af3f55),laptop,ay9
ObjectId(6a5800e033c1d16759af3f56),laptop,ay9
ObjectId(6a5800e033c1d16759af3f57),laptop,ay9
ObjectId(6a5800e033c1d16759af3f58),laptop,c6
ObjectId(6a5800e033c1d16759af3f59),laptop,zeta
ObjectId(6a5800e033c1d16759af3f5a),laptop,ki2
ObjectId(6a5800e033c1d16759af3f5b),laptop,kz
ObjectId(6a5800e033c1d16759af3f5c),laptop,kz
ObjectId(6a5800e033c1d16759af3f5d),laptop,ki2
ObjectId(6a5800e033c1d16759af3f5e),laptop,c6
ObjectId(6a5800e033c1d16759af3f5f),laptop,qw2
ObjectId(6a5800e033c1d16759af3f60),laptop,jl3
ObjectId(6a5800e033c1d16759af3f61),laptop,c6
ObjectId(6a5800e033c1d16759af3f62),laptop,kz
ObjectId(6a5800e033c1d16759af3f63),laptop,kz
ObjectId(6a5800e033c1d16759af3f64),laptop,qw2
ObjectId(6a5800e033c1d16759af3f65),laptop,ay9
ObjectId(6a5800e033c1d16759af3f66),laptop,ki2
ObjectId(6a5800e033c1d16759af3f67),laptop,j3
ObjectId(6a5800e033c1d16759af3f68),laptop,c6
ObjectId(6a5800e033c1d16759af3f69),laptop,jl3
ObjectId(6a5800e033c1d16759af3f6a),laptop,c6
ObjectId(6a5800e033c1d16759af3f6b),laptop,ay9
ObjectId(6a5800e033c1d16759af3f6c),laptop,ay9
ObjectId(6a5800e033c1d16759af3f6d),laptop,jl3
ObjectId(6a5800e033c1d16759af3f6e),laptop,zeta
ObjectId(6a5800e033c1d16759af3f6f),laptop,ki2
ObjectId(6a5800e033c1d16759af3f70),laptop,kz
ObjectId(6a5800e033c1d16759af3f71),laptop,jl3
ObjectId(6a5800e033c1d16759af3f72),laptop,c6
ObjectId(6a5800e033c1d16759af3f73),laptop,zeta
ObjectId(6a5800e033c1d16759af3f74),laptop,j3
ObjectId(6a5800e033c1d16759af3f75),laptop,k12
ObjectId(6a5800e033c1d16759af3f76),laptop,c6
ObjectId(6a5800e033c1d16759af3f77),laptop,jl3
ObjectId(6a5800e033c1d16759af3f78),laptop,ki2
ObjectId(6a5800e033c1d16759af3f79),laptop,ki2
ObjectId(6a5800e033c1d16759af3f7a),laptop,ay9
ObjectId(6a5800e033c1d16759af3f7b),laptop,j3
ObjectId(6a5800e033c1d16759af3f7c),laptop,jl3
ObjectId(6a5800e033c1d16759af3f7d),laptop,ki2
ObjectId(6a5800e033c1d16759af3f7e),laptop,c6
ObjectId(6a5800e033c1d16759af3f7f),laptop,j3
ObjectId(6a5800e033c1d16759af3f80),laptop,kz
ObjectId(6a5800e033c1d16759af3f81),laptop,jl3
ObjectId(6a5800e033c1d16759af3f82),laptop,c6
ObjectId(6a5800e033c1d16759af3f83),laptop,j3
ObjectId(6a5800e033c1d16759af3f84),laptop,k12
ObjectId(6a5800e033c1d16759af3f85),laptop,zeta
ObjectId(6a5800e033c1d16759af3f86),laptop,jl3
ObjectId(6a5800e033c1d16759af3f87),laptop,jl3
ObjectId(6a5800e033c1d16759af3f88),laptop,ay9
ObjectId(6a5800e033c1d16759af3f89),laptop,kz
ObjectId(6a5800e033c1d16759af3f8a),laptop,c6
ObjectId(6a5800e033c1d16759af3f8b),laptop,jl3
ObjectId(6a5800e033c1d16759af3f8c),laptop,kz
ObjectId(6a5800e033c1d16759af3f8d),laptop,qw2
ObjectId(6a5800e033c1d16759af3f8e),laptop,zeta
ObjectId(6a5800e033c1d16759af3f8f),laptop,ay9
ObjectId(6a5800e033c1d16759af3f90),laptop,c6
ObjectId(6a5800e033c1d16759af3f91),laptop,ki2
ObjectId(6a5800e033c1d16759af3f92),laptop,ay9
ObjectId(6a5800e033c1d16759af3f93),laptop,j3
ObjectId(6a5800e033c1d16759af3f94),laptop,zeta
ObjectId(6a5800e033c1d16759af3f95),laptop,j3
ObjectId(6a5800e033c1d16759af3f96),laptop,k12
ObjectId(6a5800e033c1d16759af3f97),laptop,kz
ObjectId(6a5800e033c1d16759af3f98),laptop,kz
ObjectId(6a5800e033c1d16759af3f99),laptop,k12
ObjectId(6a5800e033c1d16759af3f9a),laptop,qw2
ObjectId(6a5800e033c1d16759af3f9b),laptop,j3
ObjectId(6a5800e033c1d16759af3f9c),laptop,j3
ObjectId(6a5800e033c1d16759af3f9d),laptop,zeta
ObjectId(6a5800e033c1d16759af3f9e),laptop,c6
ObjectId(6a5800e033c1d16759af3f9f),laptop,c6
ObjectId(6a5800e033c1d16759af3fa0),laptop,ay9
ObjectId(6a5800e033c1d16759af3fa1),laptop,kz
ObjectId(6a5800e033c1d16759af3fa2),laptop,j3
ObjectId(6a5800e033c1d16759af3fa3),laptop,ay9
ObjectId(6a5800e033c1d16759af3fa4),laptop,jl3
ObjectId(6a5800e033c1d16759af3fa5),laptop,j3
ObjectId(6a5800e033c1d16759af3fa6),laptop,ki2
ObjectId(6a5800e033c1d16759af3fa7),laptop,zeta
ObjectId(6a5800e033c1d16759af3fa8),laptop,kz
ObjectId(6a5800e033c1d16759af3fa9),laptop,jl3
ObjectId(6a5800e033c1d16759af3faa),laptop,qw2
ObjectId(6a5800e033c1d16759af3fab),laptop,c6
ObjectId(6a5800e033c1d16759af3fac),laptop,k12
ObjectId(6a5800e033c1d16759af3fad),laptop,k12
ObjectId(6a5800e033c1d16759af3fae),laptop,zeta
ObjectId(6a5800e033c1d16759af3faf),laptop,qw2
ObjectId(6a5800e033c1d16759af3fb0),laptop,qw2
ObjectId(6a5800e033c1d16759af3fb1),laptop,kz
ObjectId(6a5800e033c1d16759af3fb2),laptop,qw2
ObjectId(6a5800e033c1d16759af3fb3),laptop,ki2
ObjectId(6a5800e033c1d16759af3fb4),laptop,ki2
ObjectId(6a5800e033c1d16759af3fb5),laptop,ay9
ObjectId(6a5800e033c1d16759af3fb6),laptop,jl3
ObjectId(6a5800e033c1d16759af3fb7),laptop,k12
ObjectId(6a5800e033c1d16759af3fb8),laptop,c6
ObjectId(6a5800e033c1d16759af3fb9),laptop,jl3
ObjectId(6a5800e033c1d16759af3fba),laptop,c6
ObjectId(6a5800e033c1d16759af3fbb),laptop,zeta
ObjectId(6a5800e033c1d16759af3fbc),laptop,c6
ObjectId(6a5800e033c1d16759af3fbd),laptop,j3
ObjectId(6a5800e033c1d16759af3fbe),laptop,j3
ObjectId(6a5800e033c1d16759af3fbf),laptop,kz
ObjectId(6a5800e033c1d16759af3fc0),laptop,k12
ObjectId(6a5800e033c1d16759af3fc1),laptop,ay9
ObjectId(6a5800e033c1d16759af3fc2),laptop,qw2
ObjectId(6a5800e033c1d16759af3fc3),laptop,c6
ObjectId(6a5800e033c1d16759af3fc4),laptop,zeta
ObjectId(6a5800e033c1d16759af3fc5),laptop,c6
ObjectId(6a5800e033c1d16759af3fc6),laptop,qw2
ObjectId(6a5800e033c1d16759af3fc7),laptop,c6
ObjectId(6a5800e033c1d16759af3fc8),laptop,ki2
ObjectId(6a5800e033c1d16759af3fc9),laptop,c6
ObjectId(6a5800e033c1d16759af3fca),laptop,j3
ObjectId(6a5800e033c1d16759af3fcb),laptop,zeta
ObjectId(6a5800e033c1d16759af3fcc),laptop,ay9
ObjectId(6a5800e033c1d16759af3fcd),laptop,ki2
ObjectId(6a5800e033c1d16759af3fce),laptop,zeta
ObjectId(6a5800e033c1d16759af3fcf),laptop,k12
ObjectId(6a5800e033c1d16759af3fd0),laptop,c6
ObjectId(6a5800e033c1d16759af3fd1),laptop,qw2
ObjectId(6a5800e033c1d16759af3fd2),laptop,ki2
ObjectId(6a5800e033c1d16759af3fd3),laptop,jl3
ObjectId(6a5800e033c1d16759af3fd4),laptop,ki2
ObjectId(6a5800e033c1d16759af3fd5),laptop,zeta
ObjectId(6a5800e033c1d16759af3fd6),laptop,jl3
ObjectId(6a5800e033c1d16759af3fd7),laptop,qw2
ObjectId(6a5800e033c1d16759af3fd8),laptop,ki2
ObjectId(6a5800e033c1d16759af3fd9),laptop,j3
ObjectId(6a5800e033c1d16759af3fda),laptop,j3
ObjectId(6a5800e033c1d16759af3fdb),laptop,ki2
ObjectId(6a5800e033c1d16759af3fdc),laptop,c6
ObjectId(6a5800e033c1d16759af3fdd),laptop,qw2
ObjectId(6a5800e033c1d16759af3fde),laptop,jl3
ObjectId(6a5800e033c1d16759af3fdf),laptop,ay9
ObjectId(6a5800e033c1d16759af3fe0),laptop,ki2
ObjectId(6a5800e033c1d16759af3fe1),laptop,kz
ObjectId(6a5800e033c1d16759af3fe2),laptop,jl3
ObjectId(6a5800e033c1d16759af3fe3),laptop,ay9
ObjectId(6a5800e033c1d16759af3fe4),laptop,jl3
ObjectId(6a5800e033c1d16759af3fe5),laptop,k12
ObjectId(6a5800e033c1d16759af3fe6),laptop,qw2
ObjectId(6a5800e033c1d16759af3fe7),laptop,j3
ObjectId(6a5800e033c1d16759af3fe8),laptop,kz
ObjectId(6a5800e033c1d16759af3fe9),laptop,c6
ObjectId(6a5800e033c1d16759af3fea),laptop,jl3
ObjectId(6a5800e033c1d16759af3feb),laptop,ay9
ObjectId(6a5800e033c1d16759af3fec),laptop,k12
ObjectId(6a5800e033c1d16759af3fed),laptop,j3
ObjectId(6a5800e033c1d16759af3fee),laptop,zeta
ObjectId(6a5800e033c1d16759af3fef),laptop,qw2
ObjectId(6a5800e033c1d16759af3ff0),laptop,jl3
ObjectId(6a5800e033c1d16759af3ff1),laptop,jl3
ObjectId(6a5800e033c1d16759af3ff2),laptop,jl3
ObjectId(6a5800e033c1d16759af3ff3),laptop,ki2
ObjectId(6a5800e033c1d16759af3ff4),laptop,qw2
ObjectId(6a5800e033c1d16759af3ff5),laptop,j3
ObjectId(6a5800e033c1d16759af3ff6),laptop,zeta
ObjectId(6a5800e033c1d16759af3ff7),laptop,j3
ObjectId(6a5800e033c1d16759af3ff8),laptop,c6
ObjectId(6a5800e033c1d16759af3ff9),laptop,j3
ObjectId(6a5800e033c1d16759af3ffa),laptop,kz
ObjectId(6a5800e033c1d16759af3ffb),laptop,zeta
ObjectId(6a5800e033c1d16759af3ffc),laptop,zeta
ObjectId(6a5800e033c1d16759af3ffd),laptop,j3
ObjectId(6a5800e033c1d16759af3ffe),laptop,k12
ObjectId(6a5800e033c1d16759af3fff),laptop,qw2
ObjectId(6a5800e033c1d16759af4000),laptop,k12
ObjectId(6a5800e033c1d16759af4001),laptop,jl3
ObjectId(6a5800e033c1d16759af4002),laptop,k12
ObjectId(6a5800e033c1d16759af4003),laptop,ki2
ObjectId(6a5800e033c1d16759af4004),laptop,c6
ObjectId(6a5800e033c1d16759af4005),laptop,ki2
ObjectId(6a5800e033c1d16759af4006),laptop,jl3
ObjectId(6a5800e033c1d16759af4007),laptop,zeta
ObjectId(6a5800e033c1d16759af4008),laptop,ay9
ObjectId(6a5800e033c1d16759af4009),laptop,k12
ObjectId(6a5800e033c1d16759af400a),laptop,ki2
ObjectId(6a5800e033c1d16759af400b),laptop,zeta
ObjectId(6a5800e033c1d16759af400c),laptop,ay9
ObjectId(6a5800e033c1d16759af400d),laptop,jl3
ObjectId(6a5800e033c1d16759af400e),laptop,kz
ObjectId(6a5800e033c1d16759af400f),laptop,ki2
ObjectId(6a5800e033c1d16759af4010),laptop,qw2
ObjectId(6a5800e033c1d16759af4011),laptop,j3
ObjectId(6a5800e033c1d16759af4012),laptop,qw2
ObjectId(6a5800e033c1d16759af4013),laptop,kz
ObjectId(6a5800e033c1d16759af4014),laptop,j3
ObjectId(6a5800e033c1d16759af4015),laptop,kz
ObjectId(6a5800e033c1d16759af4016),laptop,qw2
ObjectId(6a5800e033c1d16759af4017),laptop,zeta
ObjectId(6a5800e033c1d16759af4018),laptop,zeta
ObjectId(6a5800e033c1d16759af4019),laptop,qw2
ObjectId(6a5800e033c1d16759af401a),laptop,ay9
ObjectId(6a5800e033c1d16759af401b),laptop,j3
ObjectId(6a5800e033c1d16759af401c),laptop,zeta
ObjectId(6a5800e033c1d16759af401d),laptop,j3
ObjectId(6a5800e033c1d16759af401e),laptop,c6
ObjectId(6a5800e033c1d16759af401f),laptop,j3
ObjectId(6a5800e033c1d16759af4020),laptop,ay9
ObjectId(6a5800e033c1d16759af4021),television,jk23
ObjectId(6a5800e033c1d16759af4022),television,jk23
ObjectId(6a5800e033c1d16759af4023),television,boom
ObjectId(6a5800e033c1d16759af4024),television,k20
ObjectId(6a5800e033c1d16759af4025),laptop,j3
ObjectId(6a5800e033c1d16759af4026),television,jk23
ObjectId(6a5800e033c1d16759af4027),television,jk23
ObjectId(6a5800e033c1d16759af4028),television,ss2
ObjectId(6a5800e033c1d16759af4029),television,k20
ObjectId(6a5800e033c1d16759af402a),television,jk23
ObjectId(6a5800e033c1d16759af402b),television,boom
ObjectId(6a5800e033c1d16759af402c),television,dj1
ObjectId(6a5800e033c1d16759af402d),television,ss2
ObjectId(6a5800e033c1d16759af402e),television,k20
ObjectId(6a5800e033c1d16759af402f),television,boom
ObjectId(6a5800e033c1d16759af4030),television,boom
ObjectId(6a5800e033c1d16759af4031),television,ss2
ObjectId(6a5800e033c1d16759af4032),television,k20
ObjectId(6a5800e033c1d16759af4033),television,k20
ObjectId(6a5800e033c1d16759af4034),television,ss2
ObjectId(6a5800e033c1d16759af4035),television,dj1
ObjectId(6a5800e033c1d16759af4036),television,boom
ObjectId(6a5800e033c1d16759af4037),television,dj1
ObjectId(6a5800e033c1d16759af4038),television,dj1
ObjectId(6a5800e033c1d16759af4039),television,dj1
ObjectId(6a5800e033c1d16759af403a),television,ss2
ObjectId(6a5800e033c1d16759af403b),laptop,k12
ObjectId(6a5800e033c1d16759af403c),laptop,kz
ObjectId(6a5800e033c1d16759af403d),laptop,ay9
ObjectId(6a5800e033c1d16759af403e),laptop,c6
ObjectId(6a5800e033c1d16759af403f),laptop,zeta
ObjectId(6a5800e033c1d16759af4040),laptop,k12
ObjectId(6a5800e033c1d16759af4041),laptop,jl3
ObjectId(6a5800e033c1d16759af4042),laptop,jl3
ObjectId(6a5800e033c1d16759af4043),laptop,zeta
ObjectId(6a5800e033c1d16759af4044),laptop,qw2
ObjectId(6a5800e033c1d16759af4045),laptop,j3
ObjectId(6a5800e033c1d16759af4046),laptop,zeta
ObjectId(6a5800e033c1d16759af4047),laptop,c6
ObjectId(6a580cc90514617b3e352784),smart phone,platina
ObjectId(6a580cc90514617b3e352785),smart phone,bn20
ObjectId(6a580cc90514617b3e352786),smart phone,pk2
ObjectId(6a580cc90514617b3e352787),smart phone,c12
ObjectId(6a580cc90514617b3e352788),smart phone,bn20
ObjectId(6a580cc90514617b3e352789),smart phone,xm23
ObjectId(6a580cc90514617b3e35278a),smart phone,bn20
ObjectId(6a580cc90514617b3e35278b),smart phone,c12
ObjectId(6a580cc90514617b3e35278c),smart phone,pk2
ObjectId(6a580cc90514617b3e35278d),smart phone,c3
ObjectId(6a580cc90514617b3e35278e),smart phone,cz
ObjectId(6a580cc90514617b3e35278f),smart phone,cz
ObjectId(6a580cc90514617b3e352790),laptop,c6
ObjectId(6a580cc90514617b3e352791),smart phone,k9
ObjectId(6a580cc90514617b3e352792),laptop,qw2
ObjectId(6a580cc90514617b3e352793),laptop,qw2
ObjectId(6a580cc90514617b3e352794),laptop,k12
ObjectId(6a580cc90514617b3e352795),laptop,ay9
ObjectId(6a580cc90514617b3e352796),laptop,zeta
ObjectId(6a580cc90514617b3e352797),laptop,jl3
ObjectId(6a580cc90514617b3e352798),smart phone,xm23
ObjectId(6a580cc90514617b3e352799),laptop,zeta
ObjectId(6a580cc90514617b3e35279a),smart phone,cz
ObjectId(6a580cc90514617b3e35279b),smart phone,k9
ObjectId(6a580cc90514617b3e35279c),smart phone,platina
ObjectId(6a580cc90514617b3e35279d),smart phone,k9
ObjectId(6a580cc90514617b3e35279e),smart phone,platina
ObjectId(6a580cc90514617b3e35279f),smart phone,c12
ObjectId(6a580cc90514617b3e3527a0),smart phone,c3
ObjectId(6a580cc90514617b3e3527a1),smart phone,pk2
ObjectId(6a580cc90514617b3e3527a2),smart phone,c3
ObjectId(6a580cc90514617b3e3527a3),smart phone,xm23
